"","ID","OWC","eHRAF.Name","EA.ID","PSF.Cluster","group","DQ","all_est_count_30","all_sev_est_count_30","countdr_30","countsevdr_30","countfl_30","countsevfl_30","countLAPD_30","countsevLAPD_30","freqdr_30","freqsevdr_30","freqfl_30","freqsevfl_30","freqLAPD_30","freqsevLAPD_30","all_freq_30","all_freq_sev_30","all_onset_avg_30","all_onset_mode_30","all_pred_avg_30","all_pred_mode_30","all_severe_avg_30","all_severe_mode_30","all_div_30","all_div_sev_30","duration_30","freqdr_30_IA","freqsevdr_30_IA","freqfl_30_IA","freqsevfl_30_IA","freqLAPD_30_IA","freqsevLAPD_30_IA","all_freq_30_IA","all_freq_sev_30_IA","fd_est_count_30","fd_freq_30","fd_onset_avg_30","fd_onset_mode_30","fd_pred_avg_30","fd_pred_mode_30","fd_severe_avg_30","fd_severe_mode_30","fd_div_30","fd_freq_30_IA","sevnonfd_est_count_30","sevnonfd_freq_30","sevnonfd_onset_avg_30","sevnonfd_onset_mode_30","sevnonfd_pred_avg_30","sevnonfd_pred_mode_30","sevnonfd_severe_avg_30","sevnonfd_severe_mode_30","sevnonfd_div_30","sevnonfd_freq_30_IA","nonsev_est_count_30","nonsev_freq_30","nonsev_onset_avg_30","nonsev_onset_mode_30","nonsev_pred_avg_30","nonsev_pred_mode_30","nonsev_severe_avg_30","nonsev_severe_mode_30","nonsev_div_30","nonsev_freq_30_IA","threat_count","all_est_count_30_IA","all_sev_est_count_30_IA","countdr_30_IA","countsevdr_30_IA","countfl_30_IA","countsevfl_30_IA","countLAPD_30_IA","countsevLAPD_30_IA","fd_est_count_30_IA","sevnonfd_est_count_30_IA","nonsev_est_count_30_IA","threat_count_IA","NAME","ea033","hier_beyond_com","intensity_agricult","class_strat","community_size","IBSS.Sample","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5Resolved","S6Resolved","S8Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS2e_nonkin_Res","LS3d_outside_Res","LS3e_nonkin_Res","LS4d_outside_Res","LS4e_nonkin_Res","LS5d_outside_Res","LS5e_nonkin_Res","S1_Resolved","S5_Resolved","S6_Resolved","LS2b_communal_Res","LS3b_communal_Res","LS4b_communal_Res","LS5b_communal_Res","LS6b_communal_Res","LS2c_leader_Res","LS3c_leader_Res","LS4c_leader_Res","LS5c_leader_Res","LS6c_leader_Res","LS7c_leader_Res","LS6d_outside_Res","LS7d_outside_Res","LS6e_nonkin_Res","LS7e_nonkin_Res"
"1",1,"FX13","Khoi","Aa03",NA,"JGE",2,23,1,1,1,NA,NA,22,NA,3,3,NA,NA,7,NA,7,3,1.957,2,1.957,2,2.043,2,3,1,NA,3,3,1,1,7,1,7,3,1,3,1,1,1,1,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,7,2,2,2,2,2,2,2,7,NA,23,1,1,1,0,0,22,0,1,0,22,0,"nama Hottentot",2,2,1,2,3,1,1,0,1,NA,NA,1,NA,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"FX10","San","Aa01",NA,"JGE",1,69,9,5,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,7,5,1.928,2,2.928,3,1.913,2,5,2,0,5,5,1,1,1,1,7,5,9,5,1.444,1,2.444,2,3.556,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60,7,2,2,3,3,1.667,2,3,7,2,69,9,5,5,0,0,0,0,9,0,60,2,"Kung Bushmen",1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,1,0,2,1,1,1,0,1,NA,1,1,0,0,NA,1,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,"FQ09","Lozi","Ab03","2","MINERVA",1,22,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,7,NA,1.045,1,2,2,2.045,2,2,NA,NA,1,1,4,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,7,1.045,1,2,2,2.045,2,2,7,NA,22,0,0,0,2,0,0,0,0,0,22,0,"Lozi",4,4,5,4,2,NA,1,1,1,1,1,2,3,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA
"4",5,"FP13","Ovimbundu","Ab05",NA,"MINERVA",3,10,6,6,2,NA,NA,NA,NA,5,4,NA,NA,NA,NA,6,5,1.4,1,2,2,3.667,4,2,2,0,5,4,NA,NA,NA,NA,6,5,2,4,1,1,2,2,3,3,1,4,4,5,2,2,2,2,4,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,6,2,NA,NA,NA,NA,2,4,NA,NA,"Mbundu",3,3,3,4,4,NA,1,0,0,1,1,0,1,1,0,0,1,0,1,1,NA,0,0,0,NA,1,0,0,1,NA,1,0,0,0,0,1,1,0,NA,1,1,1,0,0,1,0,NA,0,0,1,0,NA,0,NA,1,NA,1
"5",7,"FQ05","Bemba","Ac03","3","MINERVA",2,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,2,2,2.909,3,3,3,2,2,NA,1,1,1,1,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,7,2,2,2.909,3,3,3,2,7,NA,2,NA,NA,NA,NA,NA,NA,NA,2,4,22,22,0,0,0,0,0,0,0,22,0,4,"Bemba",3,3,3,4,3,NA,1,1,1,1,1,2,3,NA,1,1,0,2,NA,NA,NA,1,1,NA,1,1,0,1,NA,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
"6",8,"FN17","Nyakyusa and Ngonde","Ad06",NA,"JGE",2,20,NA,NA,NA,20,NA,NA,NA,2,NA,7,NA,NA,NA,7,NA,2,2,3,3,2,2,1,NA,NA,2,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,5,20,0,0,0,20,0,0,0,0,0,20,5,"Nyakyusa",3,3,5,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,NA,0,NA,NA,0,1,1,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",12,"FK07","Ganda","Ad07","4","JGE",1,40,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,2,2,2,2.5,3,2.25,2,2,NA,NA,2,2,1,1,1,1,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,7,2,2,2.5,3,2.25,2,2,7,3,40,0,0,0,0,0,0,0,0,0,40,3,"Ganda",4,4,5,4,7,1,1,0,1,0,1,1,1,1,0,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",13,"FO04","Mbuti","Aa05","1","JGE",2,11,5,NA,NA,4,NA,1,1,NA,NA,5,NA,3,3,6,5,2,2,1,1,2.545,2,4,2,NA,1,1,5,1,3,3,6,5,5,5,2,2,1,1,3.2,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,2,2,1,1,2,2,2,5,NA,11,5,0,0,4,0,1,1,5,0,6,0,"Mbuti",1,1,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,NA,NA,NA,1,1,NA,NA,NA,1,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",16,"FF57","Tiv","Ah03","9","MINERVA",2,6,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,1.333,1,2.333,3,2,2,2,NA,NA,5,1,1,1,1,1,5,1,2,4,2,2,1,1,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,1.333,1,2.333,3,2,2,2,5,NA,6,0,4,0,0,0,0,0,2,0,6,0,"Tiv",2,2,3,1,4,NA,1,0,1,1,1,1,2,NA,1,1,1,2,NA,NA,NA,0,1,NA,1,NA,1,1,1,1,1,NA,NA,1,1,0,1,1,1,1,1,1,NA,0,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"10",19,"FE12","Akan","Af03","6","MINERVA",2,3,2,NA,NA,2,2,NA,NA,NA,NA,4,4,NA,NA,4,4,1.333,1,1.667,2,3.333,4,2,1,NA,1,1,4,4,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,1,2,2,4,4,1,4,1,3,2,2,1,1,2,2,1,3,NA,3,2,0,0,2,2,0,0,0,2,1,0,"Ashanti",3,3,3,4,7,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",21,"MS30","Wolof","Cb02","7","JGE",2,22,2,1,1,NA,NA,1,1,3,3,NA,NA,3,3,7,4,1.955,2,2.818,3,2.091,2,3,2,0,3,3,1,1,3,3,7,4,2,4,1.5,2,1,1,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,NA,22,2,1,1,0,0,1,1,2,0,20,0,"Wolof",3,3,3,5,8,1,1,1,0,1,0,1,2,1,0,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,0,NA,NA,0,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",22,"FA08","Bambara","Ag01",NA,"JGE",3,20,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,2,2,2,3,3,2,2,1,NA,NA,2,2,NA,NA,NA,NA,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,2,2,3,3,2,2,1,7,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,"Bambara",2,2,5,4,7,1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",23,"FE11","Tallensi","Ag04",NA,"JGE",2,8,6,2,2,NA,NA,3,1,4,4,NA,NA,4,3,5,5,1.5,1,1.125,1,3.125,4,5,4,0,4,4,1,1,4,3,5,5,6,5,1.5,1,1.167,1,3.5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,NA,1,1,2,2,1,4,NA,8,6,2,2,0,0,3,1,6,0,2,0,"Tallensi",1,1,5,2,5,1,1,NA,1,1,1,1,2,1,0,1,1,1,1,1,0,NA,1,1,NA,NA,NA,0,1,NA,NA,NA,NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",24,"MS20","Songhai","Cb03",NA,"JGE",2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,2,3,3,1.5,2,2,NA,NA,1,1,1,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,7,2,2,3,3,1.5,2,2,7,NA,40,0,0,0,0,0,0,0,0,0,40,0,"Songhai",4,4,5,5,7,1,1,NA,NA,1,NA,NA,NA,1,0,NA,1,NA,1,NA,1,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",25,"MS11","Fulani","Cb24",NA,NA,1,35,8,3,1,1,1,3,1,4,3,3,3,4,3,7,5,1.886,2,2.229,3,2.286,2,8,5,1,4,3,3,3,4,3,7,5,6,5,1.833,2,1,1,3,3,3,5,2,4,1.5,2,1,1,3,3,2,4,27,7,1.926,2,2.593,3,2.074,2,4,7,NA,35,8,3,1,1,1,3,1,6,2,27,0,"Pastoral Fulani",2,NA,2,1,3,1,1,0,NA,1,NA,NA,NA,1,0,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,0,1,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",26,"MS12","Hausa","Cb26","10","JGE",2,26,4,4,4,NA,NA,2,NA,5,5,NA,NA,4,NA,7,5,1.846,2,2.692,3,2.154,2,3,1,NA,5,5,1,1,4,1,7,5,4,5,1,1,2,2,3,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,7,2,2,2.818,3,2,2,2,7,NA,26,4,4,4,0,0,2,0,4,0,22,0,"Hausa",4,4,6,5,8,1,1,1,1,1,1,2,3,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",27,"FI21","Masa","Ai09",NA,NA,2,22,2,1,1,20,NA,1,1,3,3,7,NA,3,3,7,4,1.955,2,2.818,3,2.182,2,3,2,0,3,3,7,1,3,3,7,4,2,4,1.5,2,1,1,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,NA,22,2,1,1,20,0,1,1,2,0,20,0,"Massa (Masa)",1,1,6,1,4,1,1,0,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",28,"FO07","Azande","Ai03","5","MINERVA",3,22,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,4,7,4,2,2,2.818,3,2.182,2,3,2,NA,NA,NA,NA,NA,4,4,7,4,2,4,NA,NA,1,1,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,2,2,3,3,2,2,1,7,NA,22,2,NA,NA,NA,NA,2,2,2,NA,20,NA,"Azande",3,3,3,4,3,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",29,"MQ08","Fur","Cb17",NA,"JGE",3,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,6,2,6,2,2,2,2,2,2.5,2.5,1,NA,NA,NA,NA,NA,NA,6,2,6,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,2,2,2,2,2.5,2.5,1,6,1,10,NA,NA,NA,NA,NA,10,NA,NA,NA,10,1,"Fur (Darfur)",4,4,5,4,3,1,1,1,0,1,0,1,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",30,"FJ21","Nuba","Ai10",NA,"JGE",2,24,4,2,2,NA,NA,2,2,4,4,NA,NA,4,4,7,5,1.917,2,1.833,2,1.333,1,3,2,NA,4,4,1,1,4,4,7,5,4,5,1.5,2,1,1,3,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,2,2,1,1,1,7,NA,24,4,2,2,0,0,2,2,4,0,20,0,"Otoro Nuba",2,2,5,2,5,1,1,0,1,1,1,1,2,1,0,1,0,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",32,"MP19","Mao","Ai47",NA,"JGE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,2,"Mao",2,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",34,"FL12","Maasai","Aj02","11",NA,1,3,3,NA,NA,NA,NA,3,3,NA,NA,NA,NA,4,4,4,4,1,1,1,1,4,4,1,1,5,1,1,1,1,4,4,4,4,3,4,1,1,1,1,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,0,0,0,0,3,3,3,0,0,0,"Masai",2,2,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",35,"MP17","Konso","Ca01",NA,NA,1,48,4,4,4,4,NA,20,NA,5,5,5,NA,7,2,7,5,1.917,2,1.917,1,2.167,2,4,1,NA,5,5,5,1,7,2,7,5,4,5,1,1,1,1,4,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,7,2,2,2,1,2,2,3,7,2,48,4,4,4,4,0,20,0,4,0,44,2,"Konso",1,1,5,2,6,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",36,"MO04","Somali","Ca02","12","JGE",2,9,8,2,2,NA,NA,3,2,4,4,NA,NA,4,4,5,5,1.333,1,1.111,1,3.222,3,4,3,NA,4,4,1,1,4,4,5,5,8,5,1.25,1,1,1,3.375,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,2,1,3,NA,9,8,2,2,0,0,3,2,8,0,1,0,"Somali",3,3,5,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,1,1,NA,0,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",37,"MP05","Amhara","Ca07","17","JGE",2,41,1,20,NA,20,NA,NA,NA,7,NA,7,NA,NA,NA,7,3,1.512,2,2.976,3,1.561,2,3,1,NA,7,1,7,1,1,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,4,4,1,3,40,7,1.5,1,3,3,1.5,2,2,7,NA,41,1,20,0,20,0,0,0,0,1,40,0,"Amhara",4,4,5,5,8,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,NA,NA,1,0,1,1,NA,0,1,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",40,"MS22","Teda","Cc02",NA,"JGE",1,6,6,2,2,NA,NA,2,2,4,4,NA,NA,4,4,5,5,1.667,2,1,1,3.333,3,3,3,7,4,4,1,1,4,4,5,5,6,5,1.667,2,1,1,3.333,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,6,2,2,0,0,2,2,6,0,0,0,"Teda",2,2,6,4,2,1,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",42,"MX03","Berbers of Morocco","Cd03",NA,"JGE",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,2,3,3,1,1,0,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,2,2,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Riffians",2,2,5,2,7,1,1,0,1,1,1,1,2,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",43,"MR13","Fellahin","Cd02",NA,"JGE",3,24,4,NA,NA,21,1,3,3,NA,NA,7,3,4,4,7,5,2,2,2.75,3,2.208,2,3,3,0,NA,NA,7,3,4,4,7,5,3,4,2,2,1.667,2,3.333,3,2,4,1,3,2,2,1,1,3,3,1,3,20,7,2,2,3,3,2,2,1,7,2,24,4,NA,NA,21,1,3,3,3,1,20,2,"Egyptians",4,NA,6,5,8,1,1,NA,1,NA,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,0,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
