"","ID","OWC","eHRAF.Name","EA.ID","PSF.Cluster","group","DQ","all_est_count_30","all_sev_est_count_30","countdr_30","countsevdr_30","countfl_30","countsevfl_30","countLAPD_30","countsevLAPD_30","freqdr_30","freqsevdr_30","freqfl_30","freqsevfl_30","freqLAPD_30","freqsevLAPD_30","all_freq_30","all_freq_sev_30","all_onset_avg_30","all_onset_mode_30","all_pred_avg_30","all_pred_mode_30","all_severe_avg_30","all_severe_mode_30","all_div_30","all_div_sev_30","duration_30","freqdr_30_IA","freqsevdr_30_IA","freqfl_30_IA","freqsevfl_30_IA","freqLAPD_30_IA","freqsevLAPD_30_IA","all_freq_30_IA","all_freq_sev_30_IA","fd_est_count_30","fd_freq_30","fd_onset_avg_30","fd_onset_mode_30","fd_pred_avg_30","fd_pred_mode_30","fd_severe_avg_30","fd_severe_mode_30","fd_div_30","fd_freq_30_IA","sevnonfd_est_count_30","sevnonfd_freq_30","sevnonfd_onset_avg_30","sevnonfd_onset_mode_30","sevnonfd_pred_avg_30","sevnonfd_pred_mode_30","sevnonfd_severe_avg_30","sevnonfd_severe_mode_30","sevnonfd_div_30","sevnonfd_freq_30_IA","nonsev_est_count_30","nonsev_freq_30","nonsev_onset_avg_30","nonsev_onset_mode_30","nonsev_pred_avg_30","nonsev_pred_mode_30","nonsev_severe_avg_30","nonsev_severe_mode_30","nonsev_div_30","nonsev_freq_30_IA","threat_count","all_est_count_30_IA","all_sev_est_count_30_IA","countdr_30_IA","countsevdr_30_IA","countfl_30_IA","countsevfl_30_IA","countLAPD_30_IA","countsevLAPD_30_IA","fd_est_count_30_IA","sevnonfd_est_count_30_IA","nonsev_est_count_30_IA","threat_count_IA","NAME","ea033","hier_beyond_com","intensity_agricult","class_strat","community_size","IBSS.Sample","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5Resolved","S6Resolved","S8Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS2e_nonkin_Res","LS3d_outside_Res","LS3e_nonkin_Res","LS4d_outside_Res","LS4e_nonkin_Res","LS5d_outside_Res","LS5e_nonkin_Res","S1_Resolved","S5_Resolved","S6_Resolved","LS2b_communal_Res","LS3b_communal_Res","LS4b_communal_Res","LS5b_communal_Res","LS6b_communal_Res","LS2c_leader_Res","LS3c_leader_Res","LS4c_leader_Res","LS5c_leader_Res","LS6c_leader_Res","LS7c_leader_Res","LS6d_outside_Res","LS7d_outside_Res","LS6e_nonkin_Res","LS7e_nonkin_Res"
"64",106,"OU08","Samoans","Ii14",NA,"JGE",3,46,2,2,NA,NA,NA,2,NA,4,NA,NA,NA,4,NA,7,4,1.957,2,1.913,2,1.609,2,5,1,NA,4,NA,NA,NA,4,NA,7,4,2,4,2,2,2,2,3,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,7,1.955,2,1.909,2,1.545,2,4,7,NA,46,2,2,NA,NA,NA,2,NA,2,NA,44,NA,"Western Samoans",3,3,4,4,4,1,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",108,"OR11","Marshallese","If17",NA,"JGE",1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,1,1,3.25,4,2,1,NA,1,1,1,1,1,1,4,3,1,3,2,2,1,1,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,1,2.5,2.5,1,3,NA,2,1,0,0,0,0,0,0,1,0,1,0,"Marshallese",2,2,4,4,3,1,1,0,1,1,1,1,2,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",109,"OR19","Chuuk","If02","37","JGE",1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,2,1.429,1,2.643,3,3,2,0,1,1,1,1,1,1,5,5,4,5,2,2,1.5,2,3.125,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,2,1.333,1,2,2,2,4,NA,7,4,0,0,0,0,0,0,4,0,3,0,"Trukese",1,1,4,1,3,1,1,1,1,0,0,2,2,1,1,1,1,2,1,1,1,0,1,NA,NA,1,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",110,"OR22","Yapese","If06",NA,"JGE",2,24,4,2,2,NA,NA,NA,NA,4,4,NA,NA,NA,NA,7,5,1.917,2,1,1,1.417,1,3,2,0,4,4,1,1,1,1,7,5,4,5,1.5,1,1,1,3.5,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,1,1,1,1,1,7,NA,24,4,2,2,0,0,0,0,4,0,20,0,"Yapese",2,2,4,4,2,1,1,0,1,0,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",112,"OA19","Ifugao","Ia03","32","JGE",1,24,4,4,4,NA,NA,20,NA,5,5,NA,NA,7,NA,7,5,1,1,2.833,3,2.167,2,2,1,NA,5,5,1,1,7,1,7,5,4,5,1,1,2,2,3,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,NA,NA,3,3,2,2,1,7,NA,24,4,4,4,0,0,20,0,4,0,20,0,"Ifugao",1,1,6,2,3,1,1,0,1,1,0,1,2,1,0,1,0,1,1,1,1,NA,0,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",116,"AA01","Korea","Ed01","25","JGE",3,35,9,5,2,6,6,NA,NA,5,4,5,5,NA,NA,7,5,1.857,2,1.971,2,2.338,2,6,3,1,5,4,5,5,NA,NA,7,5,9,5,1.778,2,2.111,2,3.222,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,7,1.92,2,1.917,2,2.02,2,4,7,2,35,9,5,2,6,6,NA,NA,9,NA,25,2,"Koreans",3,3,6,5,8,1,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",117,"AB43","Okayama","Ed05",NA,"JGE",1,47,7,23,3,4,4,NA,NA,7,4,5,5,NA,NA,7,5,1.085,1,2,2,2.213,2,3,2,0,7,4,5,5,1,1,7,5,7,5,1.571,2,2,2,3.429,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,7,1,1,2,2,2,2,2,7,4,47,7,23,3,4,4,0,0,7,0,40,4,"Japanese",5,5,6,5,8,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,NA,NA,0,1,0,NA,NA,NA,1,1,NA,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",118,"AB06","Ainu","Ec07",NA,"JGE",1,24,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,2,2,2,2.75,3,2,2,3,NA,NA,1,1,7,1,1,1,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24,7,2,2,2.75,3,2,2,3,7,3,24,0,0,0,20,0,0,0,0,0,24,3,"Ainu",2,2,3,1,1,1,1,0,1,1,1,1,2,1,0,1,0,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",119,"RX02","Nivkh","Ec01",NA,"JGE",2,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,2.75,3,1,1,4,NA,NA,1,1,1,1,1,1,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80,7,2,2,2.75,3,1,1,4,7,2,80,0,0,0,0,0,0,0,0,0,80,2,"Gilyak",1,1,1,1,2,1,1,0,1,1,1,1,2,1,NA,1,0,NA,1,1,1,NA,0,NA,0,1,NA,1,NA,1,1,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",121,"RY02","Chukchee","Ec03","24","JGE",2,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,1.952,2,2.952,3,2.095,2,2,1,0,1,1,1,1,1,1,7,3,1,3,1,1,2,2,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,NA,21,1,0,0,0,0,0,0,1,0,20,0,"Chukchee",1,1,1,2,1,1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",124,"ND08","Copper Inuit","Na03","41","JGE",1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1.833,2,1.833,2,4,4,2,2,0,1,1,1,1,1,1,5,5,6,5,1.833,2,1.833,2,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,6,0,0,0,0,0,0,6,0,0,0,"Copper Eskimo",1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,1,NA,0,1,NA,NA,1,0,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",127,"NG06","Ojibwa","Na33","42",NA,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,2,2,2,2,2.333,2.5,2,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,2,2,2.333,2.5,2,4,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,"Saulteaux",1,NA,1,1,3,NA,1,0,NA,1,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0
"76",130,"NA07","Eyak","Nb05",NA,"JGE",2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,1,2,2,2,2,1,NA,NA,1,1,1,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,1,1,2,2,2,2,1,7,NA,20,0,0,0,0,0,0,0,0,0,20,0,"Eyak",2,2,1,2,1,1,1,1,1,1,0,2,3,1,1,0,0,1,1,1,NA,0,NA,NA,1,NA,1,NA,NA,1,NA,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",132,"NE06","Nuxalk","Nb09",NA,"JGE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Bellacoola",1,1,1,4,2,1,1,0,1,1,0,1,2,1,0,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",135,"NS18","Pomo","Nc18",NA,"MINERVA",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Pomo (Eastern)",1,1,1,2,4,NA,1,NA,1,NA,NA,NA,NA,1,1,1,0,2,1,0,NA,0,1,NA,0,0,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"79",136,"NS29","Yokuts","Nc24",NA,"MINERVA",1,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,2,2,2,2,1,NA,NA,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,NA,NA,2,2,2,2,1,7,NA,20,0,0,0,20,0,0,0,0,0,20,0,"Yokuts (Lake)",1,1,1,2,4,NA,1,0,1,1,0,1,2,1,1,1,1,2,1,1,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,0,NA,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"80",138,"NR10","Klamath","Nc08","44",NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1.5,1,2,2,3,4,2,1,NA,1,1,1,1,1,1,5,4,2,4,1,1,2,2,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,2,2,2,2,2,1,4,NA,4,2,0,0,0,0,0,0,2,0,2,0,"Klamath",1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",141,"NQ14","Hidatsa","Ne15",NA,"JGE",3,22,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,2,2,2.864,3,2.455,2.5,3,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,7,2,2,2.864,3,2.455,2.5,3,7,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,"Hidatsa",1,1,5,1,5,1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,1,NA,0,1,NA,1,NA,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",142,"NQ18","Pawnee","Nf06","46","JGE",3,3,3,3,3,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,4,1,1,NA,NA,4,4,1,1,1,4,4,NA,NA,NA,NA,4,4,3,4,1,1,NA,NA,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,NA,NA,NA,"Pawnee",2,2,3,4,4,1,1,NA,NA,NA,1,NA,NA,1,0,1,1,1,NA,1,NA,NA,0,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",144,"NG05","Huron/Wendat","Ng01",NA,"JGE",1,11,9,3,3,NA,NA,4,4,4,4,NA,NA,5,5,6,5,1.727,2,1.273,1,3.091,3,4,3,0,4,4,1,1,5,5,6,5,9,5,1.667,2,1.333,1,3.333,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,2,1,1,2,2,1,4,NA,11,9,3,3,0,0,4,4,9,0,2,0,"Huron",2,2,3,2,5,1,1,0,1,1,0,1,2,1,0,1,1,1,1,1,1,NA,0,0,0,NA,NA,1,1,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",150,"NT14","Havasupai","Nd03",NA,"JGE",1,4,4,NA,NA,4,4,NA,NA,NA,NA,5,5,NA,NA,5,5,2,2,1.75,2,3.5,4,1,1,0,1,1,5,5,1,1,5,5,4,5,2,2,1.75,2,3.5,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,0,0,4,4,0,0,4,0,0,0,"Havasupai",1,1,6,1,3,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",151,"NU79","O'odham","Ni02",NA,"JGE",3,56,14,10,10,5,4,20,NA,6,6,5,5,7,NA,7,6,1.821,2,2.786,3,2.268,2,5,2,0,6,6,5,5,7,NA,7,6,14,6,1.286,1,2.429,3,3,3,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,7,2,2,2.905,3,2.024,2,4,7,NA,56,14,10,10,5,4,20,NA,14,NA,42,NA,"Papago",1,1,6,1,NA,1,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,0,1,0,0,NA,0,1,0,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",154,"NU30","Popoluca","Nj03",NA,"JGE",2,1,1,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,3,3,1,1,1,1,3,3,1,1,0,3,3,1,1,1,1,3,3,1,3,1,1,1,1,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,0,0,0,0,1,0,0,0,"Popoluca",1,1,3,1,5,1,1,0,1,0,1,1,1,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",156,"SA15","Miskito","Sa09",NA,"JGE",1,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,2,2,3,3,2,2,1,NA,NA,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,3,20,0,0,0,20,0,0,0,0,0,20,3,"Miskito",2,2,3,1,3,1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,NA,0,NA,1,0,1,1,NA,1,1,1,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",159,"SC13","Goajiro","Sb06",NA,"JGE",1,5,5,5,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,5,5,1,1,1.8,2,3.2,3,1,1,9,5,5,1,1,1,1,5,5,5,5,1,1,1.8,2,3.2,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,5,5,0,0,0,0,5,0,0,0,"Goajiro",1,1,2,2,1,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,0,0,0,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",160,"SV03","Haitians","Sb09",NA,"JGE",3,4,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,3,5,5,1.75,2,1.75,2,3.75,4,2,2,0,NA,NA,NA,NA,3,3,5,5,3,4,2,2,2,2,4,4,1,4,1,3,1,1,1,1,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,1,1,3,1,NA,3,"Haitians",4,4,5,5,8,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,1,0,NA,NA,0,NA,0,NA,NA,1,NA,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",162,"SS18","Warao","Sc01",NA,"JGE",2,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,3,3,2,2,1,NA,NA,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,NA,NA,3,3,2,2,1,7,NA,20,0,0,0,20,0,0,0,0,0,20,0,"Warrau",1,1,2,1,2,1,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",164,"SR09","Barama River Carib","Sc03",NA,"JGE",3,2,2,2,2,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,4,1,1,1,1,4,4,1,1,NA,4,4,NA,NA,NA,NA,4,4,2,4,1,1,1,1,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,NA,NA,NA,"Carib (Barama)",1,1,3,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",165,"SR15","Saramaka","Sc06","59","JGE",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2,1,1,2,2,1,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,1,1,2,2,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Saramacca",3,3,3,1,3,1,1,0,1,1,1,1,2,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",167,"SQ19","Tukano","Se12","58","MINERVA",2,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,2,2,3,3,2,2,1,NA,NA,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,NA,20,0,0,0,20,0,0,0,0,0,20,0,"Cubeo (Tucano)",1,1,3,1,1,NA,1,1,1,1,1,2,3,NA,1,1,1,2,NA,NA,NA,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,1,0,1,1,NA,1,NA,0,NA,0
"94",168,"SD06","Chachi","Sf03",NA,"MINERVA",2,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,2,2,3,3,2,2,1,NA,NA,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,NA,20,0,0,0,20,0,0,0,0,0,20,0,"Cayapa",1,1,4,1,5,1,1,0,1,0,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,1,NA,1,NA,NA,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",172,"SF05","Aymara","Sf02","53","JGE",1,13,13,5,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,6,6,1.615,2,1,1,3.385,3,4,4,3,5,5,1,1,1,1,6,6,13,6,1.615,2,1,1,3.385,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,13,5,5,0,0,0,0,13,0,0,0,"Aymara",NA,NA,3,2,5,1,1,0,0,1,1,0,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",173,"SF21","Sirionó","Se01",NA,"JGE",4,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,2,2,3,3,2,2,1,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,2,2,3,3,2,2,1,7,NA,20,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,"Siriono",1,1,3,1,1,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",182,"SK15","Enxet and Enlhet","Sh09",NA,"JGE",2,8,6,2,2,2,2,4,2,4,4,4,4,5,4,5,5,1.75,2,1,1,2.75,3,4,3,NA,4,4,4,4,5,4,5,5,6,5,1.667,2,1,1,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,2,1,1,2,2,1,4,NA,8,6,2,2,2,2,4,2,6,0,2,0,"Lengua",1,1,2,1,3,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
