"","ID","OWC","eHRAF.Name","EA.ID","PSF.Cluster","group","DQ","all_est_count_30","all_sev_est_count_30","countdr_30","countsevdr_30","countfl_30","countsevfl_30","countLAPD_30","countsevLAPD_30","freqdr_30","freqsevdr_30","freqfl_30","freqsevfl_30","freqLAPD_30","freqsevLAPD_30","all_freq_30","all_freq_sev_30","all_onset_avg_30","all_onset_mode_30","all_pred_avg_30","all_pred_mode_30","all_severe_avg_30","all_severe_mode_30","all_div_30","all_div_sev_30","duration_30","freqdr_30_IA","freqsevdr_30_IA","freqfl_30_IA","freqsevfl_30_IA","freqLAPD_30_IA","freqsevLAPD_30_IA","all_freq_30_IA","all_freq_sev_30_IA","fd_est_count_30","fd_freq_30","fd_onset_avg_30","fd_onset_mode_30","fd_pred_avg_30","fd_pred_mode_30","fd_severe_avg_30","fd_severe_mode_30","fd_div_30","fd_freq_30_IA","sevnonfd_est_count_30","sevnonfd_freq_30","sevnonfd_onset_avg_30","sevnonfd_onset_mode_30","sevnonfd_pred_avg_30","sevnonfd_pred_mode_30","sevnonfd_severe_avg_30","sevnonfd_severe_mode_30","sevnonfd_div_30","sevnonfd_freq_30_IA","nonsev_est_count_30","nonsev_freq_30","nonsev_onset_avg_30","nonsev_onset_mode_30","nonsev_pred_avg_30","nonsev_pred_mode_30","nonsev_severe_avg_30","nonsev_severe_mode_30","nonsev_div_30","nonsev_freq_30_IA","threat_count","all_est_count_30_IA","all_sev_est_count_30_IA","countdr_30_IA","countsevdr_30_IA","countfl_30_IA","countsevfl_30_IA","countLAPD_30_IA","countsevLAPD_30_IA","fd_est_count_30_IA","sevnonfd_est_count_30_IA","nonsev_est_count_30_IA","threat_count_IA","NAME","ea033","hier_beyond_com","intensity_agricult","class_strat","community_size","IBSS.Sample","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5Resolved","S6Resolved","S8Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS2e_nonkin_Res","LS3d_outside_Res","LS3e_nonkin_Res","LS4d_outside_Res","LS4e_nonkin_Res","LS5d_outside_Res","LS5e_nonkin_Res","S1_Resolved","S5_Resolved","S6_Resolved","LS2b_communal_Res","LS3b_communal_Res","LS4b_communal_Res","LS5b_communal_Res","LS6b_communal_Res","LS2c_leader_Res","LS3c_leader_Res","LS4c_leader_Res","LS5c_leader_Res","LS6c_leader_Res","LS7c_leader_Res","LS6d_outside_Res","LS7d_outside_Res","LS6e_nonkin_Res","LS7e_nonkin_Res"
"98",184,"SG04","Mapuche","Sg02",NA,"JGE",1,5,5,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,4,5,5,1.6,2,1.4,1,3.2,3,5,5,6,1,1,1,1,4,4,5,5,5,5,1.6,2,1.4,1,3.2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,0,0,0,0,2,2,5,0,0,0,"Mapuche",1,1,5,2,2,1,1,1,0,1,1,1,2,1,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,0,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",185,"SH05","Tehuelche","Sg04",NA,"JGE",1,36,NA,NA,NA,21,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,1.2,1,2.556,3,1.139,1,5,NA,0,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,36,7,1.2,1,2.556,3,1.139,1,5,7,NA,36,0,0,0,21,0,0,0,0,0,36,0,"Tehuelche",1,1,1,1,2,1,1,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",186,"SH06","Yahgan","Sg01",NA,"JGE",2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,2,1,1,2,2,1,NA,NA,1,1,1,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,1,1,2,2,1,7,NA,20,0,0,0,0,0,0,0,0,0,20,0,"Yahgan",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,1,1,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",201,"AD05","Taiwan Hokkien",NA,"26","MINERVA",1,33,10,2,NA,20,NA,NA,NA,4,NA,7,NA,NA,NA,7,6,1.909,2,2.545,3,2.636,2,4,1,0,4,1,7,1,1,1,7,6,10,6,2,2,2,2,4,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23,7,1.87,2,2.783,3,2.043,2,3,7,2,33,10,2,0,20,0,0,0,10,0,23,2,"Taiwan Hokkien",NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"102",202,"AR07","Khasi","Ei08","29","MINERVA",3,2,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,3,4,4,2,2,1,1,4,4,2,2,15,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,1,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,"Khasi",2,2,3,4,NA,NA,1,0,1,NA,NA,1,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",203,"AX04","Sinhalese","Eh06","22","MINERVA",3,40,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,1.5,1,3,3,1.5,2,2,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,7,1.5,1,3,3,1.5,2,2,7,NA,40,NA,20,NA,NA,NA,NA,NA,NA,NA,40,NA,"Sinhalese",4,4,6,5,8,NA,1,1,1,1,1,2,3,NA,0,1,0,1,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,NA,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,NA,0,0,0,0,NA,0,NA,NA,NA,0
"104",204,"EF06","Serbs","Ch01","19","MINERVA",1,20,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,2,NA,NA,3,3,2,2,1,NA,NA,2,2,1,1,1,1,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,NA,NA,3,3,2,2,1,7,3,20,0,0,0,0,0,0,0,0,0,20,3,"Serbs",4,4,5,5,8,NA,1,0,1,1,0,1,2,NA,0,1,1,1,NA,NA,NA,NA,1,0,0,NA,NA,1,1,1,1,NA,NA,0,1,0,1,NA,NA,1,1,1,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
"105",205,"ES10","Highland Scots",NA,"18a","MINERVA",1,4,4,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,4,5,5,1.5,1,1.5,1,3.5,3.5,2,2,NA,1,1,1,1,4,4,5,5,4,5,1.5,1,1.5,1,3.5,3.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,0,0,0,0,2,2,4,0,0,0,"Highland Scots",NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,2,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,1,0,1,NA,NA,0,1,NA,1,1,1,1,0,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,1
"106",206,"FA16","Dogon","Ag03","8","MINERVA",2,60,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,7,2,1.667,2,2,2,2.25,2.5,3,NA,NA,7,1,1,1,1,2,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,7,1.5,1,2,2,2.25,2.5,2,7,2,60,0,20,0,0,0,0,0,0,0,40,2,"Dogon",2,2,5,2,3,NA,1,0,1,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,0,0,0,1,NA,1,1,1,1,NA,NA,0,1,0,1,0,1,1,1,1,NA,0,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA
"107",207,"MS14","Kanuri","Cb19","14",NA,4,1,1,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,3,3,1,1,1,1,4,4,1,1,NA,3,3,NA,NA,NA,NA,3,3,1,3,1,1,1,1,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,"Kanuri",4,4,5,4,NA,NA,1,0,1,1,1,1,2,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,0,1,0,1,0,1,1,1,1,NA,1,0,0,0,NA,1,0,0,0,0,0,0,0,1
"108",208,"MT09","Libyan Bedouin","Cd20","16","MINERVA",1,3,3,2,2,NA,NA,1,1,4,4,NA,NA,3,3,4,4,1.333,1,1,1,3.667,4,2,2,2,4,4,1,1,3,3,4,4,3,4,1.333,1,1,1,3.667,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,2,2,0,0,1,1,3,0,0,0,"Libyan Bedouin",4,4,5,NA,NA,NA,1,0,0,1,NA,0,1,NA,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"109",209,"MW11","Shluh","Cd05","15","MINERVA",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,1,1,4,4,1,1,NA,1,1,1,1,1,1,4,4,2,4,1,1,1,1,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,0,0,0,0,0,0,2,0,0,0,"Shluh",2,2,6,1,NA,NA,1,1,0,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,0,NA,1,NA,1,1,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
"110",210,"NA12","Tlingit","Nb22","43","MINERVA",3,52,7,NA,NA,2,2,NA,NA,NA,NA,4,4,NA,NA,7,5,1.615,2,1.385,1,2.173,2,7,3,0,NA,NA,4,4,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,2,2,1,1,3.286,3,3,5,45,7,1.556,2,1.444,1,2,2,4,7,NA,52,7,NA,NA,2,2,NA,NA,NA,7,45,NA,"Tlingit",1,1,1,4,4,NA,1,0,0,1,1,0,1,NA,1,1,1,2,NA,NA,NA,0,1,1,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,1,1,0,1,1,1,NA,NA,1,1,NA,NA,NA,0,0,NA,0,NA,0,NA,NA
"111",214,"NU33","Tarahumara","Ni01","49","MINERVA",3,46,2,2,2,NA,NA,4,NA,4,4,NA,NA,5,NA,7,4,1.957,2,2.913,3,2.087,2,4,1,NA,4,4,NA,NA,5,NA,7,4,2,4,1,1,1,1,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,7,2,2,3,3,2,2,3,7,NA,46,2,2,2,NA,NA,4,NA,2,NA,44,NA,"Tarahumara",1,1,5,2,NA,NA,1,0,1,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"112",215,"NU44","Zapotec","Nj10","50.b","MINERVA",2,24,1,1,1,20,NA,NA,NA,3,3,7,NA,NA,NA,7,3,1.958,2,2.708,3,2.062,2,3,1,0,3,3,7,1,1,1,7,3,1,3,1,1,2,2,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23,7,2,2,2.739,3,2.022,2,2,7,NA,24,1,1,1,20,0,0,0,1,0,23,0,"Zapotec",NA,NA,3,NA,7,NA,1,1,1,1,1,2,3,NA,0,1,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,1,NA,0,0,NA,NA,0,1,1,1,1,1,NA,0,0,0,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA
"113",217,"OQ06","Lau Fijians","Ih04","39","MINERVA",1,25,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,7,3,1.84,2,2.64,3,2.08,2,3,1,NA,5,1,1,1,1,1,7,3,1,3,2,2,2,2,4,4,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2,24,7,1.833,2,2.667,3,2,2,2,7,3,25,1,4,0,0,0,0,0,1,0,24,3,"Lau Fijians",3,3,4,2,2,NA,1,0,1,1,1,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,0,1,NA,1,1,1,NA,1,1,0,NA,NA,1,1,0,NA,1,NA,NA,NA,NA
"114",218,"RV02","Yakut","Ec02","23",NA,3,85,23,6,6,3,2,20,NA,5,5,4,4,7,NA,7,7,1.705,2,2.953,3,2.294,2,8,5,0,5,5,4,4,7,NA,7,7,22,7,1.409,1,2.864,3,4,4,5,7,1,3,2,2,3,3,4,4,1,3,62,7,2,2,2.984,3,1.661,2,4,7,NA,85,23,6,6,3,2,20,NA,22,1,62,NA,"Yakut",3,3,2,2,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",220,"SH04","Ona","Sg03","54","MINERVA",1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,1,2,2,2,2,1,NA,NA,1,1,1,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,1,1,2,2,2,2,1,7,NA,20,0,0,0,0,0,0,0,0,0,20,0,"Ona",1,1,1,1,2,NA,1,0,1,NA,NA,1,NA,NA,1,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"116",221,"SI07","Mataco","Sh01","55","MINERVA",3,24,4,2,2,2,2,NA,NA,4,4,4,4,NA,NA,7,5,1.917,2,2.833,3,1.417,1,3,2,NA,4,4,4,4,NA,NA,7,5,2,4,1,1,2,2,3,3,1,4,2,4,2,2,2,2,4,4,1,4,20,7,2,2,3,3,1,1,1,7,NA,24,4,2,2,2,2,NA,NA,2,2,20,NA,"Mataco",1,1,2,1,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",222,"SO11","Bahia Brazilians","So11","18b","MINERVA",2,25,5,5,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,7,5,1.8,2,2.6,3,2.24,2,2,1,1,5,5,1,1,1,1,7,5,5,5,1,1,1,1,3.2,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,NA,25,5,5,5,0,0,0,0,5,0,20,0,"Bahia Brazilians",5,5,5,5,8,NA,1,0,1,0,1,1,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA
"118",223,"SP08","Bororo","Si01","57",NA,2,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,3,3,2,2,1,NA,NA,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,NA,NA,3,3,2,2,1,7,NA,20,0,0,0,20,0,0,0,0,0,20,0,"Bororo",2,2,1,1,NA,NA,1,0,1,1,1,1,2,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,1,0,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"119",68,"AK05","Lepcha","Ee03",NA,"JGE",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lepcha",2,2,5,2,3,1,1,0,NA,1,1,NA,NA,1,0,NA,1,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",71,"AP04","Burmans","Ei03",NA,"JGE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Burmese",4,4,6,5,8,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,NA,0,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",57,"MA11","Kurds","Ci11","21","JGE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kurd",3,3,6,4,6,1,1,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",131,"NE09","Haida","Nb01",NA,"MINERVA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Haida",1,1,1,4,3,1,1,NA,1,NA,NA,NA,NA,1,0,NA,0,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",211,"NF06","Blackfoot","Ne12","45",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blackfoot",1,1,1,1,4,NA,1,1,0,1,0,1,2,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",212,"NM09","Iroquois","Ng10","47","MINERVA",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iroquois",3,3,3,1,4,NA,1,0,0,1,1,0,1,NA,1,1,1,2,NA,NA,NA,0,0,1,NA,1,1,1,1,NA,1,0,NA,NA,NA,1,1,0,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",213,"NT09","Hopi","Nh18","48","MINERVA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Hopi",1,1,6,1,4,NA,1,0,1,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,0,0,1,1,NA,NA,1,1,0,NA,NA,0,1,0,1,1,1,1,1,1,NA,0,1,1,NA,NA,0,1,1,NA,1,NA,0,NA,1
"126",84,"OF07","Balinese","Ib03",NA,"MINERVA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balinese",4,4,6,5,5,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",104,"OZ04","Maori","Ij02",NA,"MINERVA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maori",2,2,3,4,4,1,1,1,1,1,1,2,3,1,0,1,0,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,1,0,0,0,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",158,"SB05","Kuna","Sa01","51","MINERVA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Cuna (Tule)",2,2,3,2,2,NA,1,0,1,0,1,1,1,NA,1,0,0,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"129",219,"SC07","Kogi","Sb02","52","MINERVA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Kogi",1,1,3,2,NA,NA,1,0,1,0,1,1,1,NA,0,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,1,NA,NA,1,0,NA,NA,1,1,1,NA,1,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"130",181,"SM04","Guaraní","Sj10","56","MINERVA",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cayua",1,1,3,1,1,NA,1,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA
"131",179,"SP26","Xavante","Sj11",NA,"MINERVA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Shavante",1,1,3,1,3,1,1,0,0,1,1,0,1,1,1,0,0,1,1,NA,NA,0,NA,NA,0,NA,0,NA,NA,1,NA,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",163,"SQ18","Yanoama","Sd09","60","MINERVA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Yanomamo",1,1,3,1,2,NA,1,0,1,1,1,1,2,NA,1,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,0,NA,0,0,0,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA
