SCCS.ID,eHRAF.Name,OWC,IBSS.Sample,LS1_Resolved,LS2_Res_IA_2,LS3_Res_IA_2,LS4_Res_IA_2,LS5_Res_IA_2,LS2LS3Sum_IA_2,LS2LS3LS4Sum_IA_2,S1Resolved,S2_Resolved_IA_TR,S3_Resolved_IA_TR,S4_Resolved_IA_TR,SumS2S3_corrected,S5Resolved,S6Resolved,S8Resolved,S2bRes_outside,S3bRes_outside,S4bRes_outside,S5bRes_outside,S6bRes_outside,S2cRes_nonkin,S3cRes_nonkin,S4cRes_nonkin,S5cRes_nonkin,S6cRes_nonkin,LS2d_outside_Res,LS2e_nonkin_Res,LS3d_outside_Res,LS3e_nonkin_Res,LS4d_outside_Res,LS4e_nonkin_Res,LS5d_outside_Res,LS5e_nonkin_Res,S1_Resolved,S5_Resolved,S6_Resolved,LS2b_communal_Res,LS3b_communal_Res,LS4b_communal_Res,LS5b_communal_Res,LS6b_communal_Res,LS2c_leader_Res,LS3c_leader_Res,LS4c_leader_Res,LS5c_leader_Res,LS6c_leader_Res,LS7c_leader_Res,LS6d_outside_Res,LS7d_outside_Res,LS6e_nonkin_Res,LS7e_nonkin_Res
1,Khoi,FX13,1,1,0,1,NA,NA,1,NA,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Tikopia,OT11,1,1,1,1,0,0,2,2,1,1,1,1,2,1,1,NA,0,1,NA,1,NA,NA,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Bau Fijians,OQ12,1,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Maori,OZ04,1,1,1,1,1,1,2,3,1,0,1,0,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,1,0,0,0,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Samoans,OU08,1,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Marshallese,OR11,1,1,0,1,1,1,1,2,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Chuuk,OR19,1,1,1,1,0,0,2,2,1,1,1,1,2,1,1,1,0,1,NA,NA,1,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Yapese,OR22,1,1,0,1,0,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Ifugao,OA19,1,1,0,1,1,0,1,2,1,0,1,0,1,1,1,1,NA,0,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Korea,AA01,1,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Okayama,AB43,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,NA,NA,0,1,0,NA,NA,NA,1,1,NA,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Ainu,AB06,1,1,0,1,1,1,1,2,1,0,1,0,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Nivkh,RX02,1,1,0,1,1,1,1,2,1,NA,1,0,NA,1,1,1,NA,0,NA,0,1,NA,1,NA,1,1,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Ganda,FK07,1,1,0,1,0,1,1,1,1,0,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Chukchee,RY02,1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Copper Inuit,ND08,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,1,NA,0,1,NA,NA,1,0,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Mbuti,FO04,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,NA,NA,NA,1,1,NA,NA,NA,1,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Eyak,NA07,1,1,1,1,1,0,2,3,1,1,0,0,1,1,1,NA,0,NA,NA,1,NA,1,NA,NA,1,NA,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Haida,NE09,1,1,NA,1,NA,NA,NA,NA,1,0,NA,0,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Nuxalk,NE06,1,1,0,1,1,0,1,2,1,0,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Klamath,NR10,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Hidatsa,NQ14,1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,1,NA,0,1,NA,1,NA,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Pawnee,NQ18,1,1,NA,NA,NA,1,NA,NA,1,0,1,1,1,NA,1,NA,NA,0,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Huron/Wendat,NG05,1,1,0,1,1,0,1,2,1,0,1,1,1,1,1,1,NA,0,0,0,NA,NA,1,1,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Havasupai,NT14,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,O'odham,NU79,1,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,0,1,0,0,NA,0,1,0,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Popoluca,NU30,1,1,0,1,0,1,1,1,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Miskito,SA15,1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,NA,0,NA,1,0,1,1,NA,1,1,1,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Goajiro,SC13,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,0,0,0,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Haitians,SV03,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,1,0,NA,NA,0,NA,0,NA,NA,1,NA,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Warao,SS18,1,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Barama River Carib,SR09,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,Saramaka,SR15,1,1,0,1,1,1,1,2,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,Chachi,SD06,1,1,0,1,0,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,1,NA,1,NA,NA,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,Aymara,SF05,1,1,0,0,1,1,0,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,Sirionó,SF21,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Xavante,SP26,1,1,0,0,1,1,0,1,1,1,0,0,1,1,NA,NA,0,NA,NA,0,NA,0,NA,NA,1,NA,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Enxet and Enlhet,SK15,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Mapuche,SG04,1,1,1,0,1,1,1,2,1,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,0,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,Tehuelche,SH05,1,1,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Yahgan,SH06,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,1,1,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,San,FX10,1,1,1,1,0,0,2,2,1,1,1,0,2,1,1,1,0,1,NA,1,1,0,0,NA,1,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Wolof,MS30,1,1,1,0,1,0,1,2,1,0,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,0,NA,NA,0,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Bambara,FA08,1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Tallensi,FE11,1,1,NA,1,1,1,1,2,1,0,1,1,1,1,1,0,NA,1,1,NA,NA,NA,0,1,NA,NA,NA,NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Songhai,MS20,1,1,NA,NA,1,NA,NA,NA,1,0,NA,1,NA,1,NA,1,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Fulani,MS11,1,1,0,NA,1,NA,NA,NA,1,0,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,0,1,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Hausa,MS12,1,1,1,1,1,1,2,3,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Masa,FI21,1,1,0,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Fur,MQ08,1,1,1,0,1,0,1,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Nuba,FJ21,1,1,0,1,1,1,1,2,1,0,1,0,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Mao,MP19,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Maasai,FL12,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Konso,MP17,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Somali,MO04,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,1,1,NA,0,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Amhara,MP05,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,NA,NA,1,0,1,1,NA,0,1,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Nubians,MR08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Teda,MS22,1,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Berbers of Morocco,MX03,1,1,0,1,1,1,1,2,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Fellahin,MR13,1,1,NA,1,NA,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,0,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Israelites,MF07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Babylonians,MH07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Rwala Bedouin,MD04,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Turks,MB01,1,NA,0,NA,NA,NA,NA,NA,1,0,NA,1,NA,1,1,NA,NA,NA,0,1,1,NA,NA,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
